Year,Month,Flops
1993,06,597000000000.0
1993,11,1240000000000.0
1994,06,1434000000000.0
1994,11,1700000000000.0
1995,06,1700000000000.0
1995,11,1700000000000.0
1996,06,2204000000000.0
1996,11,3682000000000.0
1997,06,11000000000000.0
1997,11,13000000000000.0
1998,06,13000000000000.0
1998,11,13000000000000.0
1999,06,21000000000000.0
1999,11,24000000000000.0
2000,06,24000000000000.0
2000,11,49000000000000.0
2001,06,72000000000000.0
2001,11,72000000000000.0
2002,06,359000000000000.0
2002,11,359000000000000.0
2003,06,359000000000000.0
2003,11,359000000000000.0
2004,06,359000000000000.0
2004,11,707000000000000.0
2005,06,1368000000000000.0
2005,11,2806000000000000.0
2006,06,2806000000000000.0
2006,11,2806000000000000.0
2007,06,2806000000000000.0
2007,11,4782000000000000.0
2008,06,1e+16
2008,11,1.1e+16
2009,06,1.1e+16
2009,11,1.8e+16
2010,06,1.8e+16
2010,11,2.6e+16
2011,06,8.2e+16
2011,11,1.05e+17
2012,06,1.63e+17
2012,11,1.76e+17
2013,06,3.39e+17
2013,11,3.39e+17
2014,06,3.39e+17
2014,11,3.39e+17
2015,06,3.39e+17
2015,11,3.39e+17
2016,06,9.3e+17
2016,11,9.3e+17
2017,06,9.3e+17
2017,11,9.3e+17
2018,06,1.223e+18
2018,11,1.435e+18
2019,06,1.486e+18
2019,11,1.486e+18
2020,06,4.155e+18
